"","Rank","City","Population","Definition","Total_area_km","Population_density_km","Country","Density_Group","lon","lat"
"1",1,"Shanghai",24256800,"Municipality",6340,3826,"China",2,121.473701,31.230416
"2",2,"Karachi",23500000,"Metropolitan Corporation",3527,6663,"Pakistan",3,67.0099388,24.8614622
"3",3,"Beijing",21516000,"Municipality",16410,1311,"China",1,116.407395,39.904211
"4",4,"Lagos",21324000,"Local Government Areas",1171,18206,"Nigeria",4,3.3792057,6.5243793
"5",5,"Delhi",16787941,"National Capital Territory",1483,11320,"India",4,77.2090212,28.6139391
"6",6,"Tianjin",15200000,"Municipality",11760,1293,"China",1,117.200983,39.084158
"7",7,"Istanbul",14160467,"Metropolitan Municipality",5461,2593,"Turkey",2,28.9783589,41.0082376
"8",8,"Tokyo",13297629,"City prefecture",2189,6075,"Japan",3,139.7319925,35.7090259
"9",9,"Guangzhou",13080500,"Sub-provincial City",7434,1759,"China",1,113.264385,23.12911
"10",10,"Mumbai",12478447,"Municipal Corporation",603,20680,"India",4,72.8776559,19.0759837
"11",11,"Moscow",12197596,"Federal City",2510,4859,"Russia",3,37.6173,55.755826
"12",12,"São Paulo",11895893,"Municipality City",1521,7821,"Brazil",3,-46.6333094,-23.5505199
"13",13,"Shenzhen",10467400,"Sub-provincial City",1991,5256,"China",3,114.057865,22.543096
"14",14,"Jakarta",10075310,"Capital Region – Five Kota",664,15171,"Indonesia",4,106.845599,-6.2087634
"15",15,"Seoul",10048850,"Special City",605,17134,"South Korea",4,126.9779692,37.566535
"16",16,"Kinshasa",9735000,"Metropolitan Municipality-Province",1117,8710,"Democratic Republic of the Congo",3,15.2662931,-4.4419311
"17",17,"Cairo",9278441,"Governorate",3085,3008,"Egypt",2,31.2357116,30.0444196
"18",18,"Lahore",6318745,"City District",1772,3566,"Pakistan",2,74.3571581,31.5546061
"19",19,"Mexico City",8874724,"Federal District",1485,5974,"Mexico",3,-99.133208,19.4326077
"20",20,"Lima",8693387,"Metropolitan Municipality-Province",2672,3253,"Peru",2,-77.0427934,-12.046374
"21",21,"New York City",8550405,"City",783,10908,"United States",4,-74.0059413,40.7127837
"22",22,"London",8538689,"Greater London Authority",1572,5431,"United Kingdom",3,-0.1277583,51.5073509
"23",23,"Bengaluru",8425970,"Municipal Corporation",709,11876,"India",4,77.5945627,12.9715987
"24",24,"Bangkok",8280925,"Metropolitan Municipality-Province",1568,5279,"Thailand",3,100.5017651,13.7563309
"25",25,"Ho Chi Minh City",8224400,"Metropolitan Municipality-Province",2095,3925,"Vietnam",2,106.6296638,10.8230989
"26",26,"Dongguan",8220207,"Prefecture-level City",2469,3329,"China",2,113.7518,23.020673
"27",27,"Chongqing",8189800,"Central Chongqing
Municipality",5473,1496,"China",1,106.551556,29.56301
"28",28,"Nanjing",8187828,"Sub-provincial City",4713,1737,"China",1,118.796877,32.060255
"29",29,"Tehran",8154051,"City Municipality",686,11886,"Iran",4,51.3889736,35.6891975
"30",30,"Shenyang",8106171,"Sub-provincial City",12942,626,"China",1,123.431472,41.805699
"31",31,"Bogotá",7776845,"Capital District",859,9052,"Colombia",3,-74.072092,4.7109886
"32",32,"Ningbo",7605689,"Sub-provincial city",9816,775,"China",1,121.54399,29.868336
"33",33,"Hong Kong",7298600,"Special Administrative Region",1104,6608,"China",3,114.109497,22.396428
"34",34,"Hanoi",7232700,"Metropolitan Municipality-Province",3324,2176,"Vietnam",1,105.8341598,21.0277644
"35",35,"Baghdad",7180889,"Metropolitan Municipality-Province",4555,1576,"Iraq",1,44.3614875,33.3128057
"36",36,"Changsha",7044118,"Prefecture-level City",11819,596,"China",1,112.938814,28.228209
"37",37,"Dhaka",6970105,"City Corporation",153,45307,"Bangladesh",4,90.4125181,23.810332
"38",38,"Wuhan",6886253,"Sub-provincial City",1327,5187,"China",3,114.305393,30.593099
"39",39,"Hyderabad",6809970,"Municipal Corporation",621,10958,"India",4,78.486671,17.385044
